row,denominazione,partita_iva,status,settore,result,tenant_id,message
2,"STIMA SRL",03695410872,active,alimentare,would_create,,"Dry-run: verrebbe creato"
3,"AGRUMIGEL SRL",01549800835,active,alimentare,would_create,,"Dry-run: verrebbe creato"
4,"THE GUARDIAN SRL",04664030873,active,altro,would_create,,"Dry-run: verrebbe creato"
5,"APSEMA (Università di Catania)",02772010878,active,sanita,would_create,,"Dry-run: verrebbe creato"
6,"ORTOGEL SRL",00678650870,active,alimentare,would_create,,"Dry-run: verrebbe creato"
7,"ANALISI CLINICHE AMENTA SRL",02231080819,active,sanita,would_create,,"Dry-run: verrebbe creato"
8,"GRUTTADAURIA & CONSIGLIO AGRO DISTRIBUZIONI SRL",02004970857,active,alimentare,would_create,,"Dry-run: verrebbe creato"
9,"ARA SOCIETÀ COOPERATIVA SOCIALE",05461910878,active,altro,would_create,,"Dry-run: verrebbe creato"
10,"BIOALMONDSICILIA SRL",05627680878,active,alimentare,would_create,,"Dry-run: verrebbe creato"
11,"CONAL FOOD SRL",03731020792,active,alimentare,would_create,,"Dry-run: verrebbe creato"
12,"CENTRO CLINICO E DIAGNOSTICO G.B. MORGAGNI SRL",00248620874,active,sanita,would_create,,"Dry-run: verrebbe creato"
13,"PL3 & PARTNERS SRL",04618690962,active,altro,would_create,,"Dry-run: verrebbe creato"
14,"SALUS MANGIALAVORI SRL",02010240790,active,sanita,would_create,,"Dry-run: verrebbe creato"
15,"ROMOLO HOSPITAL SRL",02056980796,active,sanita,would_create,,"Dry-run: verrebbe creato"
16,"LABOGEST SRL",01976890796,active,sanita,would_create,,"Dry-run: verrebbe creato"
17,"FONDAZIONE ISTITUTO G. GIGLIO DI CEFALÙ",05205490823,active,sanita,would_create,,"Dry-run: verrebbe creato"
18,"DIAGNOSTICA MEDICA RESTIVO SCARL",02541500845,active,sanita,would_create,,"Dry-run: verrebbe creato"
19,"BT ITALIA SPA",04952121004,active,altro,would_create,,"Dry-run: verrebbe creato"
20,"CIEFFE DI VASQUEZ GIUSEPPE E MAUROVIC BRANCA SNC",00704910322,active,altro,failed_address_parse,,"Sede legale troppo corta"
21,"COOPERATIVA SOCIALE PROMETEO ONLUS",06260900821,active,sanita,failed_address_parse,,"CAP non trovato"
22,"AZIENDA OSPEDALIERA PAPARDO",03051880833,active,sanita,would_create,,"Dry-run: verrebbe creato"
23,"VILLA CHIARA SRL",02228000879,active,sanita,would_create,,"Dry-run: verrebbe creato"
24,"LABORATORIO ANALISI FORNAROTTO",01166750867,active,sanita,failed_address_parse,,"CAP non trovato"
25,"SICULA COMPOST SRL",05472300879,active,altro,would_create,,"Dry-run: verrebbe creato"
26,"DIGITAL UNIFORMS SRL",12439371001,active,altro,would_create,,"Dry-run: verrebbe creato"
27,"XENIA SALUS SRL",06363880821,active,sanita,would_create,,"Dry-run: verrebbe creato"
28,"LILT ASSOCIAZIONE METROPOLITANA DI CATANIA",03994720872,active,sanita,would_create,,"Dry-run: verrebbe creato"
29,"SENTIERO PER LA VITA SRL",04779150822,active,sanita,would_create,,"Dry-run: verrebbe creato"
30,"LABORATORIO ANALISI IL NUCLEO SAS",01158460863,active,sanita,would_create,,"Dry-run: verrebbe creato"
31,"CASA DI CURA MUSUMECI GECAS",03381600877,active,sanita,would_create,,"Dry-run: verrebbe creato"
32,"SOMERCOM SRL",03400520874,active,altro,failed_address_parse,,"CAP non trovato"
33,"TEO SRL",02096570805,active,sanita,would_create,,"Dry-run: verrebbe creato"
34,"SUD MARMI SRL",00594340812,active,altro,failed_address_parse,,"Sede legale troppo corta"
35,"PERLA MARMI SRL",02107900819,active,altro,would_create,,"Dry-run: verrebbe creato"
36,"CHECK-UP LABORATORIO FRANZONE SAS",01050080868,active,sanita,would_create,,"Dry-run: verrebbe creato"
37,"SALVIA FARMACEUTICI SRL",02851930871,active,altro,failed_address_parse,,"CAP non trovato"
38,"TERME DI GALATRO SRL",03089980803,active,altro,would_create,,"Dry-run: verrebbe creato"
39,"INTERMEDICA DI G. LO GIUDICE E C SAS",03761410822,active,altro,would_create,,"Dry-run: verrebbe creato"
40,"NEW LIFE",DA_CERCARE,active,altro,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
41,"CASA ANNUNZIATA",DA_CERCARE,active,sanita,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
42,ANNUNZIATA,DA_CERCARE,active,sanita,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
