row,denominazione,partita_iva,status,settore,result,tenant_id,message
2,"STIMA SRL",03695410872,active,alimentare,skipped_duplicate,30,"Duplicato: tenant già presente (PIVA)"
3,"AGRUMIGEL SRL",01549800835,active,alimentare,skipped_duplicate,31,"Duplicato: tenant già presente (PIVA)"
4,"THE GUARDIAN SRL",04664030873,active,altro,skipped_duplicate,32,"Duplicato: tenant già presente (PIVA)"
5,"APSEMA (Università di Catania)",02772010878,active,sanita,skipped_duplicate,33,"Duplicato: tenant già presente (PIVA)"
6,"ORTOGEL SRL",00678650870,active,alimentare,skipped_duplicate,34,"Duplicato: tenant già presente (PIVA)"
7,"ANALISI CLINICHE AMENTA SRL",02231080819,active,sanita,skipped_duplicate,35,"Duplicato: tenant già presente (PIVA)"
8,"GRUTTADAURIA & CONSIGLIO AGRO DISTRIBUZIONI SRL",02004970857,active,alimentare,skipped_duplicate,36,"Duplicato: tenant già presente (PIVA)"
9,"ARA SOCIETÀ COOPERATIVA SOCIALE",05461910878,active,altro,skipped_duplicate,37,"Duplicato: tenant già presente (PIVA)"
10,"BIOALMONDSICILIA SRL",05627680878,active,alimentare,skipped_duplicate,38,"Duplicato: tenant già presente (PIVA)"
11,"CONAL FOOD SRL",03731020792,active,alimentare,skipped_duplicate,39,"Duplicato: tenant già presente (PIVA)"
12,"CENTRO CLINICO E DIAGNOSTICO G.B. MORGAGNI SRL",00248620874,active,sanita,skipped_duplicate,40,"Duplicato: tenant già presente (PIVA)"
13,"PL3 & PARTNERS SRL",04618690962,active,altro,skipped_duplicate,41,"Duplicato: tenant già presente (PIVA)"
14,"SALUS MANGIALAVORI SRL",02010240790,active,sanita,skipped_duplicate,42,"Duplicato: tenant già presente (PIVA)"
15,"ROMOLO HOSPITAL SRL",02056980796,active,sanita,skipped_duplicate,43,"Duplicato: tenant già presente (PIVA)"
16,"LABOGEST SRL",01976890796,active,sanita,skipped_duplicate,44,"Duplicato: tenant già presente (PIVA)"
17,"FONDAZIONE ISTITUTO G. GIGLIO DI CEFALÙ",05205490823,active,sanita,skipped_duplicate,45,"Duplicato: tenant già presente (PIVA)"
18,"DIAGNOSTICA MEDICA RESTIVO SCARL",02541500845,active,sanita,skipped_duplicate,46,"Duplicato: tenant già presente (PIVA)"
19,"BT ITALIA SPA",04952121004,active,altro,skipped_duplicate,47,"Duplicato: tenant già presente (PIVA)"
20,"CIEFFE DI VASQUEZ GIUSEPPE E MAUROVIC BRANCA SNC",00704910322,active,altro,failed_address_parse,,"Sede legale troppo corta"
21,"COOPERATIVA SOCIALE PROMETEO ONLUS",06260900821,active,sanita,failed_address_parse,,"CAP non trovato"
22,"AZIENDA OSPEDALIERA PAPARDO",03051880833,active,sanita,skipped_duplicate,48,"Duplicato: tenant già presente (PIVA)"
23,"VILLA CHIARA SRL",02228000879,active,sanita,skipped_duplicate,49,"Duplicato: tenant già presente (PIVA)"
24,"LABORATORIO ANALISI FORNAROTTO",01166750867,active,sanita,failed_address_parse,,"CAP non trovato"
25,"SICULA COMPOST SRL",05472300879,active,altro,skipped_duplicate,50,"Duplicato: tenant già presente (PIVA)"
26,"DIGITAL UNIFORMS SRL",12439371001,active,altro,skipped_duplicate,51,"Duplicato: tenant già presente (PIVA)"
27,"XENIA SALUS SRL",06363880821,active,sanita,skipped_duplicate,52,"Duplicato: tenant già presente (PIVA)"
28,"LILT ASSOCIAZIONE METROPOLITANA DI CATANIA",03994720872,active,sanita,skipped_duplicate,53,"Duplicato: tenant già presente (PIVA)"
29,"SENTIERO PER LA VITA SRL",04779150822,active,sanita,skipped_duplicate,54,"Duplicato: tenant già presente (PIVA)"
30,"LABORATORIO ANALISI IL NUCLEO SAS",01158460863,active,sanita,skipped_duplicate,55,"Duplicato: tenant già presente (PIVA)"
31,"CASA DI CURA MUSUMECI GECAS",03381600877,active,sanita,skipped_duplicate,56,"Duplicato: tenant già presente (PIVA)"
32,"SOMERCOM SRL",03400520874,active,altro,failed_address_parse,,"CAP non trovato"
33,"TEO SRL",02096570805,active,sanita,skipped_duplicate,57,"Duplicato: tenant già presente (PIVA)"
34,"SUD MARMI SRL",00594340812,active,altro,failed_address_parse,,"Sede legale troppo corta"
35,"PERLA MARMI SRL",02107900819,active,altro,skipped_duplicate,58,"Duplicato: tenant già presente (PIVA)"
36,"CHECK-UP LABORATORIO FRANZONE SAS",01050080868,active,sanita,skipped_duplicate,59,"Duplicato: tenant già presente (PIVA)"
37,"SALVIA FARMACEUTICI SRL",02851930871,active,altro,failed_address_parse,,"CAP non trovato"
38,"TERME DI GALATRO SRL",03089980803,active,altro,skipped_duplicate,60,"Duplicato: tenant già presente (PIVA)"
39,"INTERMEDICA DI G. LO GIUDICE E C SAS",03761410822,active,altro,skipped_duplicate,61,"Duplicato: tenant già presente (PIVA)"
40,"NEW LIFE",DA_CERCARE,active,altro,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
41,"CASA ANNUNZIATA",DA_CERCARE,active,sanita,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
42,ANNUNZIATA,DA_CERCARE,active,sanita,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
